Bescheid vom,Rufnummer,Kategorie,Maßnahme
23.11.2021,0021622243257|0021622431044|0021622664637|0021622732138|0021624052597|0021625001530|0021625037421|0021625151557|0021625244571|0021626070478|0021626313136|0021627007978|0021627126379|0021627138497|0021627210942|0021628236457|0021628243759|0021628277943|0021628294385|0021628299944|0021628315074|0021629013109|0021629014881|0021629017271|0021641011639|0021658011548|0021658704964|00212612006071|00212614000327|00212614000430|00212614000578|00212614000829|00212614000855,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 24.07.2021 bis 23.11.2021
23.11.2021,00212614000885|00212614000929|00212614010477|00212614012812|00212614013607|00212614015441|00212614018288|00212614018794|00212617001078|00212617004333|00212619001070|00212619005499|00212619005719|00212619005733|00212619006308|00212621000657|00212621000822|00212621000842|00212657004518|00212657004959|00212660175604|00212660177873|00212660230041|00212660250428|00212660253633|00212660256300|00212660262245|00212660262861|00212669002262|00212669017131|00212693000005,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 24.07.2021 bis 23.11.2021
23.11.2021,0015638003528|00212569161993|00212579335142|00212589161127|00212614003538|00212614018309|00212619006220|00212619009239|00212657004959|00212657009932|00212669161024|00212669161137|00212669161139|00212669161340|00212669161484|00212669161901|00212678335315|00212679109103|00212679109200|00212679109332|00212679109574|00212679109707|00212679109750|00212679109785|00212679135816|00212679335357|00212679335463|00212679335466|00212679335550|00212679335609|00212679335647|00212679335782|00212679335861|00212679335989|00212679335996|00212679336575|00212689161906|00212777644284|00212777644285|00212777644334|00212777644513|00212777644740|00212777644757|00212777644910|00212777644958|00212777844269|00212777844456|00212879335099|0021620628884|0021622104259|0021622408258|0021626035102|0021627103273|0021627142618|0021629017578|0021629017794|0021650301037|0021653202508|0021653400187|0021654400130,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 25.05.2021 bis 23.11.2021
23.11.2021,00212612006842|00212614011691|00212614011795|00212614015140|00212619003483|00212657001640|00212660182999|00212660236302|00212669015487|00212669017592|0021620361307|0021620453247|0021621165247|0021621506238|0021623000086|0021623444790|0021625189696|0021626168927|0021626308869|0021627001965|0021627105217|0021629013087,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 08.08.2021 bis 23.11.2021
23.11.2021,00212610190780|00212610190781|00212610457600|00212611490300|00212611490301|00212611490302|00212611490310|00212611619430|00212618819140|00212618819141|00212618819142|00213537375302|00213550959963|00213555449622|00213568295991|00213661619807|0021641652480|0021654399997|0021655507481|0022566937180|0022566937181|0022588194650|0022588194651|0022588605890|0022588605891|0022588605892|0022589616080|0022589616081|0022589616082|0022674659480|0022677572810|0022677948000|0022770699400|0022786914370|0022787160670|00245955018660|00245955672560|00258840305760|00258842985250 ,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 16.11.2021 bis 18.03.2022
23.11.2021,00258843416820|00258845781680|00258846717710|00258861562990|00258862396940|00258864100000|00258864571400|00258864636270|00258868151900|00258868155542|00263732133594|00263734597621|00263734597622|00375236223991|00380917726812|00380917941540|00380917941541|00380917941542|00380918083440|00380918083441|00380919086010|0038760333660|0038761268970|0038761580860|0038761599400|0038761638290|0038761680170|0050558656020|0050928111990|0050944906990|0050949045930|0050949078800|0050949462210|0068631233682|00687836410|00687837230|00687838430|00687892870|0077082747892|,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 16.11.2021 bis 18.03.2022
19.11.2021,021732653028|021739992180|021739992181|021739992182|021739992183|021739992184|021739992185|021739992186|021739992187|021739992188|021739992189|021739992191|021739992192|021739992193|021739992194|021739992195|021739992196|021739992197|021739992198,Spam Fax,Abschaltung der Rufnummern zum 22.11.2021
19.11.2021,045373750985|045373750988,Spam Fax,Abschaltung der Rufnummern zum 22.11.2021
19.11.2021,0021620314639|0021620366307|0021620575728|0021621243986|0021621398057|0021622704940|0021623004332|0021623037883|0021623333109|0021623367463|0021624424133|0021626024419|0021626025140|0021626039906|0021627128561|0021627221678|0021628196217|0021628251260|0021628259839|0021628323221|0021628335263|0021628369560|0021629003982|0021629004303|0021629006316|0021629013698|0021629016676|0021655500660|0021655701674|0021656202792|0021658514657|00212612000962|00212612008299|00212614002463|00212614005824|00212614006336|00212614007344|00212614010618|00212614015759|00212614018723|00212614019065|00212617002784|00212619000635|00212619007851|00212656000361|00212656000466|00212657001456|00212657001904|00212657006661|00212657009593|00212660177490|00212660237266|00212660245635|00212660248677|00212660251272|00212660252767|00212660255496|00212660259884|00212669011560,Hacking / Schadsoftware,Isoliertes Rechnungslegungs- und Inkassierungsverbot vom 16.09.2021 bis 19.11.2021
17.11.2021,032127070300,Spam Fax,Abschaltung der Rufnummer zum 22.11.2021
17.11.2021,015207805546,Umgehungsmodell,Abschaltung der Rufnummer zum 20.11.2021
17.11.2021,015205713844,Umgehungsmodell,Abschaltung der Rufnummer zum 20.11.2021
16.11.2021,037241263868,Internet PopUp,Abschaltung der Rufnummer zum 19.11.2021
16.11.2021,023619949700,Internet PopUp,Abschaltung der Rufnummer zum 19.11.2021
15.11.2021,021732653630|021732653631|021732653632|021732653633|021732653634|021732653635|021732653636|021732653637|021732653638|021732653639,Spam Fax,Abschaltung der Rufnummern zum 18.11.2021
12.11.2021,015221060435,Spam Fax,Abschaltung der Rufnummer zum 15.11.2021
10.11.2021,032126060700,Spam Fax,Abschaltung der Rufnummer zum 15.11.2021
09.11.2021,071317749952,Internet PopUp,Abschaltung der Rufnummer zum 12.11.2021
08.11.2021,015203552315,Spam Fax,Abschaltung der Rufnummer zum 12.11.2021
08.11.2021,08001814743,Internet PopUp,Abschaltung der Rufnummer zum 11.11.2021
05.11.2021,033198394698,Internet PopUp,Abschaltung der Rufnummer zum 09.11.2021
05.11.2021,036419254600,Internet PopUp,Abschaltung der Rufnummer zum 09.11.2021
05.11.2021,093729849891,Internet PopUp,Abschaltung der Rufnummer zum 09.11.2021
02.11.2021,01745222174,Umgehungsmodell,Abschaltung der Rufnummer zum 05.11.2021
29.10.2021,015221060360,Spam Fax,Abschaltung der Rufnummer zum 02.11.2021
29.10.2021,08938037899,Spam SMS,Abschaltung der Rufnummer zum 02.11.2021
27.10.2021,0022788278410|0022789021071|0022798919842|0022799392540|0022799408570|00251993180921|00251993180922|00258840900770|00258841016690|00258850632870|00258850635710|00258868155540|00258868155542|0026669199518|0026669199539|0037368971590|00380501387890|00380501997910|00380503065210|00380503065211|00380503065212|00380503065280|00380503065290|00380503065291|00380506190590|00380509238360|00380917046572|00380917046821|00380917046822|00380917726810|00380917941540|00380917941541|00380917941542|0038268373780|0038268390290|0038268398170|0038268434010|0038268496070|0038268499530|0038268614180|006621368929|006623099999|006627056200|0066973091804|0068631233681|00687263210|00687418120|00687835280|00687836440|006916561200|006917435610|006917780500|0077007088090|0077007088091|0077007088092|00995591688531|00995591688532|00995595052301|00995595052302|00996778418560,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 22.10.2021 bis 25.02.2022
26.10.2021,08938034041,Spam SMS,Abschaltung der Rufnummer zum 29.10.2021
25.10.2021,032126677886,Spam Fax,Abschaltung der Rufnummer zum 28.10.2021
25.10.2021,08922061315,Spam SMS,Abschaltung der Rufnummer zum 28.10.2021
22.10.2021,071120505857,Internet PopUp,Abschaltung der Rufnummer zum 26.10.2021
20.10.2021,015252012258,Spam Fax,Abschaltung der Rufnummer zum 25.10.2021
18.10.2021,00213550309938|00213550349959|00213550349965|00213550349998|00213555448943|00213557019591|00213557019601|00213557019775|00213557019881|00213557019901|00213557754710|00213570151356|00213660039990|00213661619868|00213661619918|00213661619952|00213771289310|00213781849860|00213783302660|00213783500540|00213791165050|00213795169946|00213796054250|0022799264092|0022964137400|0022964137401|002389361240|0026774570130|00355699595070|00375294100423|00375294781151|00375294781161|00380487408629|00380660661720|00380669519992|00380682974371|00380733800239|00380737670217|00380917046570|00380917046940|00380917046941|00380917046942|00380917046942000|00380932013850|005330202002|00533031415,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 12.10.2021 bis 14.02.2022
15.10.2021,015237770276,Umgehungsmodell,Abschaltung der Rufnummer zum 18.10.2021
14.10.2021,070331249970,Internet PopUp,Abschaltung der Rufnummer zum 18.10.2021
13.10.2021,01634635762,Spam Fax,Abschaltung der Rufnummer zum 18.10.2021
13.10.2021,0077004732500|0077004732503|0077004732504|0077007048061|0077012008000|0077070174061|0077070239421|0077070264948|0077070264980|0077071060101|0077071078801|0077071099727|0077071099768|0077079064823|0078401360810|0078401360814|0078401360820|0078401360823|0078401360828|0078401400201|0078401400210|0078401400218|0078501670590|0078502319180|0078502319182|0078502319183|0078502319185|0078502319186|0078504595120|0079156290000|0079187323000|0079585769400,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 09.10.2021 bis 10.10.2021
12.10.2021,00213537379516|00213537379588|00213537379827|00213537379845|00213537379929|00213550219950|00213550239870|00213550959808|00213550959963|00213550959966|00213555448943|00213555448950|00213555449226|00213555449622|00213555449718|00213555449964|00213656258910|00213656258911|00213664408860|00213664408870|00213664408880|00213664459020|00213675489060|00213777879920|00213778429910|00213787419895|00213790119292|0037491781550|0037491799490|0037491799493|0037491945171|0037491945172|0037491945174,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 08.10.2021 bis 11.02.2022
11.10.2021,00212619000791|00212657003380|00212669017598|00212669019324|0021640960262|0021691356444|0021691769559|0021692595629|0021693025272|0021693617625|0021694151729|0021694353690|0021695443275|0021697142233|0021697862571|0021698175150|0021699722587|0021699873350,Hacking / Schadsoftware,Isoliertes Rechnungslegungs- und Inkassierungsverbot vom 27.06.2021 bis 11.10.2021
11.10.2021,03022044831,Internet PopUp,Abschaltung der Rufnummer zum 14.10.2021
08.10.2021,050528049725,Internet PopUp,Abschaltung der Rufnummer zum 12.10.2021
08.10.2021,03022180735,Internet PopUp,Abschaltung der Rufnummer zum 12.10.2021
08.10.2021,015214461705,Predictive Dialer,Abschaltung der Rufnummer zum 12.10.2021
07.10.2021,015903919281,Predictive Dialer,Abschaltung der Rufnummer zum 11.10.2021
07.10.2021,0088216101770|0088216101773|008821622775301|008821622775317|008821622775318|008821622775319|008821622776233|008821622778424,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot am 22.09.2021
06.10.2021,015256085813,Spam Fax,Abschaltung der Rufnummer zum 11.10.2021
06.10.2021,043153570730,Internet PopUp,Abschaltung der Rufnummer zum 09.10.2021
06.10.2021,039012824916,Internet PopUp,Abschaltung der Rufnummer zum 09.10.2021
06.10.2021,042219284848,Internet PopUp,Abschaltung der Rufnummer zum 09.10.2021
06.10.2021,036020203670,Internet PopUp,Abschaltung der Rufnummer zum 09.10.2021
06.10.2021,035624333703,Internet PopUp,Abschaltung der Rufnummer zum 09.10.2021
05.10.2021,040524723763,Predictive Dialer,Abschaltung der Rufnummer zum 08.10.2021
05.10.2021,015227884997,Umgehungsmodell,Abschaltung der Rufnummer zum 08.10.2021
04.10.2021,032125544336,Spam Fax,Abschaltung der Rufnummer zum 07.10.2021
01.10.2021,015255848351,Umgehungsmodell,Abschaltung der Rufnummer zum 04.10.2021
01.10.2021,015752527133|015755468754|015755487323|015755487671|015755489345|015755489389|015755731594|015755731682|015757014208|015757014241|015757014256|015757014365|015757014373|015757014401|015757014448,Spam SMS,Abschaltung der Rufnummern zum 04.10.2021
29.09.2021,015251528810,Spam Fax,Abschaltung der Rufnummer zum 04.10.2021
28.09.2021,015221060146,Spam Fax,Abschaltung der Rufnummer zum 01.10.2021
28.09.2021,065127033468|065127033588|065193646277|039499179669|039499179821,Drittnutzung,Abschaltung der Rufnummern zum 01.10.2021|Portierungsverbot
23.09.2021,0032480310501|0032480310502|0032480310503|0032480310505|0032480310506|0032480310560|0032480310563|0032480310566|0032480310711|0032480310901|0032480310906|0032480310914|0032480310918|0032480310921|0032480310924|0032480310935|0032480310940|0032480310979|0032480310994|0041742790322|0041742790580|00417427908083|0041742790890|0041742790891|0041742790892|0041742790893|0041742790894|0041742790895|0041742790896|0041742790897|0041742790898|0041742790899|0041742791590|0041742792022|0041742792024|0041742792051|0041742792052|0041742792053|0041742792057|0041742792058|0041742792256|0041742793273|0041742793361|0041742793362|0041742796060|0041742796510|0041742796570|0079981008170|0079981008172|0079981008174|0079981008176|0079981008179|0079984201702|0079984201704|0079984201735|0079987073205|0079987073215|0079987073216|0079989374077|0079989374079,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 05.09.2021 bis 09.09.2021
23.09.2021,01801011078|01801110086|01801933333|01803031078|01803337878|01805002452|01805002558|01805008855|01805009320|01805051078|01805110086|01805598080,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 25.04.2021 bis 03.06.2021
22.09.2021,00375291819121|00375291822343|00375291842793|00375291854755|00375295816433|00375333058157|00375333058613|00375333058635|00375333058863|00375333173456|00375333173790|00375333257402|00375333390965|00375333390970|00375333499239|00375333499420|00375333499468|00375333499557|00375333499838|00375333645380|00375333677011|00375333677319|00375333677541|00375333677824|00375333677917|00375333700071|00375333700548|00375333700658|00375333700685|00375333700903|00375333789281|00375333792126|00375333792521|00375333792873|00375333899030|00375333899343|00375333899354|00375333899387|00375333899456|00375333899808|00375333994081|00375333994095|00375333994199|00375333994558,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot am 16.09.2021
22.09.2021,00375333994887|00375333994946|00375336130234|00375336130457|00375336130583|00375336130694|00375336214450|00375336214817|00375336250610|00375336250848|00375336258028|00375336258332|00375336258447|00375336258841|00375336258939|00375336258975|00375336312499|00375336312520|00375336312581|00375336312847|00375336320825|00375336468103|00375336468176|00375336468284|00375336468465|00375336576325|00375336576336|00375336576552|00375336576601|00375336576641|00375336576737|00375336576759|00375336627096|00375336627481|00375336627869|00375336715792|00375336724107|00375336724604|00375336726020|00375336726565|00375336726983|00375336781328|00375445878983,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot am 16.09.2021
16.09.2021,0216199058|021619905811|021619905824|021619905830|021619905831|021619905834|021619905835|021619905836|021619905837|021619905840|021619905842|021619905843|021619905846|021619905848|021619905850|021619905852|021619905853|021619905856|021619905857|021619905860|021619905861|021619905867|021619905869|021619905873|021619905875|021619905880|021619905881|021619905883|021619905884|021619905885|021619905886|021619905887|021619905888|021619905892|021619905894|021619905897|021619905898|021619905899,Predictive Dialer,Abschaltung der Rufnummern zum 21.09.2021
15.09.2021,01629520221,Umgehungsmodell,Abschaltung der Rufnummer zum 18.09.2021
15.09.2021,01745121080,Umgehungsmodell,Abschaltung der Rufnummer zum 18.09.2021
14.09.2021,01634519690,Spam Fax,Abschaltung der Rufnummer zum 17.09.2021
10.09.2021,032121116315,Spam Fax,Abschaltung der Rufnummer zum 14.09.2021
10.09.2021,032121230022,Spam Fax,Abschaltung der Rufnummer zum 14.09.2021
08.09.2021,022412664960,Spam Fax,Abschaltung der Rufnummer zum 13.09.2021
06.09.2021,01632266770|01632266835|01632397242|01632456046|01632476993|01632640507|01632640565|01632671838|01632671900|01633365530|01633367699|01633367725|01633484109|01633484346|01633484590|01633484649|01633484730|01633485012|01633485014|01633485072|01633485802|01633485957|01633487467|01633488467|01633500095|01633512608|01633512869|01633513463|01633514769|01633518139|01789220762|015737778224|015755617085|015755635856|015755635989|015757553259|015757888881|015757888958|015757888964|015757889297|015757889628|015758140023|015758140081|015758140090|015758140181|015758140216|015758140293|015758143136|015758143312|015758143384|015758143409|015758143957|015759453073|015759453987|015759454101|015759454175|015759454647|015759454659|017687097267|017616815951|017687097266,Spam SMS,Abschaltung der Rufnummern zum 09.09.2021
06.09.2021,04042308942,Internet PopUp,Abschaltung der Rufnummer zum 09.09.2021
01.09.2021,0013049002821|00213557656202|0021650691316|0021656690005|0022897633342|0025769228406|00258850010535|0026668252903|0037256160679|0037367480723|0037367554800|00381195398200|0050557900262|005322650129|005324423611|005330588503|005331981265|005331995304|005331995340|005331995383|005331995390|005331997560|005332627807|005345411255|005376772018|005378033006|005378033013|005378033017|005378033081|005378119295|005378294010|005378401031|005378702690|006753967903|006753967907|006753967935|006753967992|0067588200133|0067588200150|006857215136|006857391384|006858351707|00795408808|0079547000075|0079697530544,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 27.08.2021 bis 31.12.2021
01.09.2021,024192787823,Spam Fax,Abschaltung der Rufnummer zum 06.09.2021
30.08.2021,024038824992,Spam Fax,Abschaltung der Rufnummer zum 02.09.2021
27.08.2021,037164964848|037164964638,Internet PopUp,Abschaltung der Rufnummern zum 31.08.2021
25.08.2021,06920446658|06920135957|04025467768,Sonstiges,Abschaltung der Rufnummern zum 30.08.2021
25.08.2021,075648869792,Internet PopUp,Abschaltung der Rufnummer zum 28.08.2021
25.08.2021,050528049732|050528049785,Internet PopUp,Abschaltung der Rufnummern zum 28.08.2021
25.08.2021,090717989784,Internet PopUp,Abschaltung der Rufnummer zum 28.08.2021
25.08.2021,024197798787,Internet PopUp,Abschaltung der Rufnummer zum 28.08.2021
23.08.2021,015167526967|015157422633|015157424151|016091350180|01759733641,Spam SMS,Abschaltung der Rufnummern zum 26.08.2021
19.08.2021,01626063209|01626068196|015206119402|015207089161|015224369311|015228120242|015228120243|015228120246|015228120248|015228120258|015228120259|015228120260|015234795572|015234795815,Spam SMS,Abschaltung der Rufnummern zum 23.08.2021
18.08.2021,024216954905,Spam Fax,Abschaltung der Rufnummer zum 21.08.2021
18.08.2021,063521529676,Internet PopUp,Abschaltung der Rufnummer zum 21.08.2021
05.08.2021,00380630005921|00380631824130|00380631824169|00380631827310|00380631827311|00380631827395|00380631828928|00380631829654|00380632220407|00380932016913|00380932016994|00380933300269,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 31.07.2021 bis 02.08.2021
03.08.2021,03080098890,Drittnutzung|Vortäuschen von Ortsansässigkeit,Abschaltung der Rufnummer zum 06.08.2021|Portierungsverbot
29.07.2021,036175044834,Internet PopUp,Abschaltung der Rufnummer zum 02.08.2021
29.07.2021,037164964646,Internet PopUp,Abschaltung der Rufnummer zum 02.08.2021
29.07.2021,0018297973246|0018762809750|00201001888888|00201068081950|00201146989129|00201146991293|0022241052437|0022383764849|0022392930254|0022392930300|0022392930380|0022968729354|0022968729356|0023577937615|0024105005184|0024105750106|0024105750147|0024105750148|0024105750152|0024105751050|0024105751070|002410612492|002410612662|00245963795201|00245969702011|0025274000040|00263773483993|0032476561371|00355680277107|00355682377680|00355683499785|00355683901060|00355683952580|00355684524160|00355686080230|00355686899374|00355689311090|00355689899010|00355691939848|00355692098830|00355692098835|0050432006390,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 01.07.2021 bis 10.07.2021
29.07.2021,0050588135075|0050762818773|005364608303|005364608309|0061402702157|006783331292|006783331293|006783331296|006783331298|006783331417|006783331418|006783331419|006783865710|006785084408|006785088811|006785094101|006785094115|006785094117|006785094119|006785098811|006785098861|006785098887|006785098893|0068650808140|0088213464390|00882161013064|00882161013065|00882161013067|00882169020753776|0088233011210|0088233011852|0088233011854|0088233011855|0088233710120|0088233910116|0088234720078|00886916652491|00886986611726|0093774136257|0094711310110|00966534815601|00966534815668,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 01.07.2021 bis 10.07.2021
28.07.2021,032127777678,Spam Fax,Abschaltung der Rufnummer zum 03.08.2021
28.07.2021,017670993737,Drittnutzung,Abschaltung der Rufnummer
28.07.2021,0013459231516|0015627127686|0018297973246|0018762809750|00201001888888|00201068081950|00201092233385|00201146989129|00201146991293|0022241052437|0022383764849|0022392930254|0022392930300|0022392930380|0022968729354|0022968729356|0023577937615|0024105005184|0024105750106|0024105750147|0024105750148|0024105750152|0024105751050|0024105751070|002410612492|002410612662|00245963795201|00245969702011|0025274000040|00263773483993|0032476561371|00355680277107|00355682377680|00355683499785|00355683901060|00355683952580|00355684524160|00355686080230|00355686899374|00355689311090|00355689899010|00355691939848|00355692098830|00355692098835|00442394200411|0050432006390|0050588135075|0050762818773|00525614429178,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 01.07.2021 bis 10.07.2021
28.07.2021,005364608303|005364608309|0059996852697|0061402702157|0063673397555|0063673397556|0063673397557|006783331292|006783331293|006783331296|006783331298|006783331417|006783331418|006783331419|006785084408|006785088811|006785094101|006785094115|006785094117|006785094119|006785098811|006785098861|006785098887|006785098893|0068650808140|0088213464390|00882161013064|00882161013065|00882161013067|00882169020753776|0088233011210|0088233011852|0088233011854|0088233011855|0088233710120|0088233910116|0088234720078|00886916652491|00886933349713|00886933349714|00886986611726|0094711310110|00966534815601|00966534815668|00966572171431|00966572171439|0097222220162|0097292344256,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 01.07.2021 bis 10.07.2021
27.07.2021,015227874564|015227790324|015227798137|015227875246|015257288310,Spam Fax,Abschaltung der Rufnummern zum 30.07.2021
27.07.2021,09005292009|01377770130|01377770190|01377772102|01377772103|01377772122|01377772181,Sonstiges,Abschaltung der Rufnummern zum 30.07.2021
27.07.2021,09005558855|01377440180,Sonstiges,Abschaltung der Rufnummern zum 30.07.2021
23.07.2021,015203235249|015227775708|015227775785|015227775806|015227775987|015227776014|015227776023|015227776054|015227776123|015227776127|015227776176,Spam SMS,Abschaltung der Rufnummern zum 26.07.2021
23.07.2021,021138536814,Spam SMS,Abschaltung der Rufnummer zum 26.07.2021
23.07.2021,015110292550|015128375093||015157421929|015157439859|015164804434|015164825114|015164832069|015164835882|015164888911|015165081117|015175060213|01606205742|016093809874|016093854963|016097027943|01752294547,Spam SMS,Abschaltung der Rufnummern zum 26.07.2021
23.07.2021,076219864924,Spam SMS,Abschaltung der Rufnummer zum 26.07.2021
23.07.2021,062139739855,Spam SMS,Abschaltung der Rufnummer zum 26.07.2021
22.07.2021,098379749994,Internet PopUp,Abschaltung der Rufnummer zum 26.07.2021
22.07.2021,021138539986,Internet PopUp,Abschaltung der Rufnummer zum 26.07.2021
21.07.2021,01759783531|01752111899|016098768284|016098722283|015165925899|015165925894|015164617601|015164617380|015157488586|015157424265|015153319348|015119407571|015112095896,Spam SMS,Abschaltung der Rufnummern zum 24.07.2021
20.07.2021,061859659715,Internet PopUp,Abschaltung der Rufnummer zum 23.07.2021
20.07.2021,0022899481420|0022899634294|0022899688350|0022899688358|0022899688359|0022899688900|0022899692000|0022899692008|0022899776397|0022899917003|0022899917281|0022899947500|00237655170304|00237655170311|00237655776655|00237656226820|00237656226827|00237656226830|00237656369974|00237656369991|00237656369994|00237656708422|00237656973236|00237657169600|00237657351737|00237657639226|00237657912150|00237657912163|00237657912184|00237659332015|00237661210201|00237671555590|00237682761301|00237691307900|00237691679611|00237691679612|00237695659978|00237697521400|00237697533951|00237697712811|00237697782207|00237697782229|00237697782250|00237697782251|00237697782266|00237697782267|00237697889100|00237698511587,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 03.07.2021 bis 09.07.2021
20.07.2021,00237699838201|0037321133109|0037321693101|0037321693107|0037322349313|0037326352000|0037326352001|0037326352002|0037326794172|0037326941110|0037326941116|0037326941118|0037326941119|0037326942430|0037326942470|0037362124945|0037365019120|0037365022100|0037365026356|0037365032582|0037365032585|0037365034689|0037365034695|0037365034696|0037365034735|0037365034775|0037365052792|0037365054184|0037365054195|0037365055900|0037744002320|0037744003560|0037744003684|0037744003685|0037744003686|0037744003687|0094710148033|0094711018300|0094711169331|0094711169734|0094711169788|0094711257405|0094711257423|0094711257762|0094712218966|0094717138600|0094719610775|0094719610816|0094719677293|0094719677379|0094719677488|0094719677570|0094719677787|0094719763342|0094719763408|0094719763527|0094719763630|0094719763811|0094750110842|0094750110843|0094750364953|0094750681060|0097477135131|0097477135136|0097477135137,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 03.07.2021 bis 09.07.2021
16.07.2021,15776500410,Predictive Dialer,Abschaltung der Rufnummer zum 19.07.2021
16.07.2021,01625884677,Spam SMS,Abschaltung der Rufnummer zum 19.07.2021
16.07.2021,076219864899,Spam SMS,Abschaltung der Rufnummer zum 19.07.2021
15.07.2021,042139047733,Spam SMS,Abschaltung der Rufnummer zum 19.07.2021
14.07.2021,01794123692,Predictive Dialer,Abschaltung der Rufnummer zum 17.07.2021
14.07.2021,028713619637,Internet PopUp,Abschaltung der Rufnummer zum 17.07.2021
13.07.2021,073618069739,Internet PopUp,Abschaltung der Rufnummer zum 16.07.2021
12.07.2021,028713619663,Internet PopUp,Abschaltung der Rufnummer zum 15.07.2021
12.07.2021,034491294766,Internet PopUp,Abschaltung der Rufnummer zum 15.07.2021
12.07.2021,021138536826,Spam SMS,Abschaltung der Rufnummer zum 15.07.2021
09.07.2021,028713619634,Internet PopUp,Abschaltung der Rufnummer zum 12.07.2021
09.07.2021,021138536800,Spam SMS,Abschaltung der Rufnummer zum 12.07.2021
09.07.2021,015227776051,Spam SMS,Abschaltung der Rufnummer zum 12.07.2021
07.07.2021,050528049627,Internet PopUp,Abschaltung der Rufnummer zum 10.07.2021
07.07.2021,00213650071002|0022671735420|0022894584100|0022894584101|0022898031067|00233264363810|00233550260500|002367751400000|002367751500000|00260955825000|00375447910100|0038751768022|0050163743520|005016639037|00505241872200|0050928107810|0050928140149|0050928170290|0050928170627|0050931876003|0050931940186|0050931940515|0050933910209|0050938870141|0050938870634|0050938870800|0050939473740|0050944560600|0050944786930|0050946370421|0050947760020|00551112402122|0059167386810|0067691079|0067691080|0067693127|0067693128|0067693770|0067694019|0067694900|0067694900123|0067694920|0067694921|0067694922|0067694923|0067694973|0067695328|0067695329|0067696350|006769929174|006769929177|006769929178|00994400130000|00994407586844|00994708169000,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 02.07.2021 bis 05.11.2021
06.07.2021,060638229755,Internet PopUp,Abschaltung der Rufnummer zum 09.07.2021
30.06.2021,015147213977|015147423902|015147477715|015147616974|015147653905|015147768508|015147814071|015147870943|015157424473|015172046720|016098700189|016098714899|016098719404|016098729033|016098738481|016098778646|016098779249|015147110084|015172046719|01754569776,Spam SMS,Abschaltung der Rufnummern zum 03.07.2021
30.06.2021,015157440420,Spam SMS,Abschaltung der Rufnummer zum 03.07.2021
30.06.2021,01625864972|01625864974|015227776026|015227882069,Spam SMS,Abschaltung der Rufnummern zum 03.07.2021
30.06.2021,01625922141,Spam SMS,Abschaltung der Rufnummer zum 03.07.2021
24.06.2021,0018766712422|0021692753796|00237663149017|00251475808152|00251475808277|00251475808589|0050587713612|00995597365094|00995597365579|00995597398364,Hacking,Isoliertes Rechnungslegungs- und Inkassierungsverbot sowie Auszahlungsverbot vom 12.06.2021 bis 13.06.2021
23.06.2021,071615099721,Internet PopUp,Abschaltung der Rufnummer zum 26.06.2021
23.06.2021,01625884679|01625894821|01626067652|01625894135|01626067657|015206119254|015206119365|015206119367,Spam SMS,Abschaltung der Rufnummern zum 26.06.2021
23.06.2021,015147944672|015165082193|015165925888|015147475244|015147401003|015147726726|015167530977,Spam SMS,Abschaltung der Rufnummern zum 26.06.2021
22.06.2021,06920134946,Internet PopUp,Abschaltung der Rufnummer zum 25.06.2021
